subject,predicate,object
_:node1gup7vsc4x359307 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359308 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359309 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359310 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359311 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359312 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359313 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359314 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359315 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359316 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359317 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359318 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359319 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359320 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359321 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359322 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359323 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359324 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359325 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359326 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359327 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359328 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
_:node1gup7vsc4x359329 ,rdf:subject ,<http://data.parliament.uk/depositedpapers/2285266>
