id,label,candidategivenname,candidatefamilyname,issittingmp,isformermp,isstandingascommonsspeaker,isstandingasindependent,isnotionalpoliticalpartyaggregate,votecount,votechange,iswinningcandidacy,democracyclubpersonidentifier,inelection,ofmember,havinggender
6905,beep,Kevin,McNamara,false,false,false,false,false,798,0.002864,false,,1224,,1
6932,beep,Geoffrey,Cox,true,true,false,false,false,33612,0.056579,true,,1230,732,1
6936,beep,Steven,Harvey,false,false,false,false,false,1240,-0.116659,false,,1231,,1
6952,beep,Chris,Hoare,false,false,false,false,false,1464,-0.099014,false,,1234,,1
6968,beep,John,O'Dowd,false,false,false,false,false,14325,0.033953,false,,1237,,1
6983,beep,Jennifer,Geroni,false,false,false,false,false,1020,-0.006532,false,,1240,,2
6999,beep,Paul,Childs,false,false,false,false,false,772,-0.007347,false,,1243,,1
7022,beep,Rachel,Eden,false,false,false,false,false,17079,0.108327,false,,1248,,2
7036,beep,John,Boulton,false,false,false,true,false,1217,,false,,1251,,1
7051,beep,Alex,Murray,false,false,false,false,false,721,-0.011421,false,,1254,,1
7073,beep,Andrea,Watts,false,false,false,false,false,18119,0.145225,false,,1258,,2
7085,beep,Steven,Jackson,false,false,false,false,false,13744,0.163605,false,,1261,,1
7099,beep,Flo,Clucas,false,false,false,false,false,333,-0.006477,false,,1264,,2
7112,beep,Kayode,Shedowo,false,false,false,false,false,353,-0.001175,false,,1267,,1
7128,beep,Stephen,Donnelly,false,false,false,false,false,1000,0.000514,false,,1270,,1
7143,beep,Eli,Aldridge,false,false,false,false,false,4783,0.038153,false,,1273,,1
7158,beep,Strachan,McDonald,false,false,false,false,false,553,-0.040401,false,,1276,,1
7179,beep,James,Abbott,false,false,false,false,false,1832,-0.006002,false,,1281,,1
7194,beep,Andy,Croy,false,false,false,false,false,15008,0.106216,false,,1284,,1
7210,beep,Sarah,Quarmby,false,false,false,false,false,784,-0.002501,false,,1287,,2
7217,beep,Mark,Shuker,false,false,false,false,false,38,,false,,1288,,1
7234,beep,Mark,Withers,false,false,false,false,false,1635,-0.152595,false,,1291,,1
7255,beep,Fiona,Green,false,false,false,false,false,13581,0.039106,false,,1296,,2
7269,beep,Nick,Love,false,false,false,false,false,2475,-0.033166,false,,1299,,1
7287,beep,Ryan,Houghton,false,false,false,false,false,7535,-0.025522,false,,1303,,1
7298,beep,Rosemary,McGowan,false,false,false,false,false,685,,false,,1305,,2
7319,beep,Donna,Lalek,false,false,false,false,false,2548,0.035183,false,,1309,,2
7341,beep,Bella,Sankey,false,false,false,false,false,9722,-0.068879,false,,1314,,2
7358,beep,David,Brocklehurst,false,false,false,false,false,3151,,false,,1317,,1
7368,beep,Ian,Middleton,false,false,false,false,false,2607,0.021534,false,,1320,,1
7380,beep,Iftikhar,Ahmed,false,false,false,false,false,7892,-0.027552,false,,1323,,1
7397,beep,John,Baron,true,true,false,false,false,29590,0.060972,true,,1326,32,1
7404,beep,Alan,Stone,false,false,false,true,false,746,,false,,1327,,1
7420,beep,John,Lawson,false,false,false,false,false,2462,0.023758,false,,1330,,1
7435,beep,Chloe-Jane,Ross,false,false,false,false,false,8194,0.083193,false,,1333,,2
7459,beep,Neil,Coyle,true,true,false,false,false,31723,0.008734,true,,1339,47,1
7471,beep,Nicholas,Stovold,false,false,false,false,false,6528,-0.018846,false,,1342,,1
7498,beep,Preet Kaur,Gill,true,true,false,false,false,21217,-0.051898,true,,1347,824,2
7513,beep,Akaal,Sidhu,false,false,false,false,false,6742,0.007984,false,,1350,,1
7532,beep,Gerry,Jerome,false,false,false,false,false,1901,0.020668,false,,1353,,1
7552,beep,Kate,Hollern,true,true,false,false,false,29040,-0.048491,true,,1357,71,2
7561,beep,Duncan,Royal,false,false,false,false,false,735,0.00965,false,,1359,,1
7588,beep,Thom,Chapman,false,false,false,false,false,2151,0.006822,false,,1363,,1
7603,beep,Mark,Logan,false,false,false,false,false,19759,0.031518,true,,1366,844,1
7606,beep,Warren,Fox,false,false,false,false,false,1847,0.013279,false,,1366,,1
7620,beep,Rebecca,Hanson,false,false,false,false,false,1822,0.020408,false,,1369,,2
7633,beep,Emma,Johnson,false,false,false,true,false,314,,false,,1372,,2
7646,beep,Andy,Stanford,false,false,false,false,false,662,0.008648,false,,1375,,1
7663,beep,Alan,Dorkins,false,false,false,true,false,261,,false,,1378,,1
7686,beep,Helen,Cross,false,false,false,false,false,7314,0.075373,false,,1382,,2
7679,beep,Elcena,Jeffers,false,false,false,true,false,101,,false,,1381,,2
7702,beep,Farès,Moussa,false,false,false,false,false,755,,false,,1385,,1
7725,beep,Mark,Weston,false,false,false,false,false,21638,-0.031309,false,,1390,,1
7741,beep,Ben,Goodwin,false,false,false,false,false,9195,0.081893,false,,1393,,1
7753,beep,Charles,Walker,true,true,false,false,false,30631,0.034261,true,,1396,121,1
7773,beep,Karen,Helsby Entwistle,false,false,false,true,false,132,,false,,1399,,2
7797,beep,Cliff,Waterman,false,false,false,false,false,12782,-0.08895,false,,1403,,1
7809,beep,Richard,Phillips,false,false,false,false,false,721,,false,,1406,,1
7828,beep,Jane,Robins,false,false,false,false,false,91,,false,,1409,,2
7842,beep,Gareth,Pearce,false,false,false,false,false,1006,,false,,1412,,1
7852,beep,Ken,Barker,false,false,false,false,false,1182,0.012884,false,,1414,,1
7887,beep,Philippa,Whitford,true,true,false,false,false,21486,0.089757,true,,1421,156,2
7897,beep,Chris,Simpson,false,false,false,false,false,663,0.002902,false,,1424,,1
7921,beep,Nicola,Horlick,false,false,false,false,false,12104,0.148685,false,,1429,,2
7931,beep,Neil,Jackson,false,false,false,false,false,1148,0.009194,false,,1432,,1
7949,beep,Theresa,Villiers,true,true,false,false,false,25745,-0.016125,true,,1436,175,2
7972,beep,Jonathan,Elmer,false,false,false,false,false,1635,0.016971,false,,1441,,1
7987,beep,Simon,Baynes,false,false,false,false,false,16222,0.055982,true,,1444,835,1
8004,beep,Martin,Goss,false,false,false,false,false,7432,-0.030461,false,,1447,,1
8020,beep,Tony,Lywood,false,false,false,false,false,17014,-0.051048,false,,1450,,1
8031,beep,Stephen,Gray,false,false,false,false,false,1443,0.016863,false,,1453,,1
8046,beep,Te Ata,Browne,false,false,false,false,false,975,,false,,1456,,2
8083,beep,Sam,Fisk,false,false,false,false,false,1182,0.016883,false,,1462,,1
8086,beep,Matthew,Snedker,false,false,false,false,false,1057,0.012608,false,,1463,,1
8113,beep,Tony,Tinley,false,false,false,false,false,18719,-0.087198,false,,1468,,1
8126,beep,Rachael,Schneider Ross,false,false,false,false,false,7838,-0.055848,false,,1471,,2
8147,beep,Frank,Calladine,false,false,false,false,false,309,-0.000987,false,,1475,,1
8175,beep,Alister,Jack,true,true,false,false,false,22678,0.007926,true,,1480,842,1
8193,beep,Stuart,Waiton,false,false,false,false,false,1271,,false,,1483,,1
8203,beep,Julian,Gallant,false,false,false,false,false,14832,-0.076853,false,,1486,,1
8223,beep,Susan,McDonnell,false,false,false,false,false,1448,-0.022892,false,,1489,,2
8240,beep,Callum,McNally,false,false,false,false,false,4839,-0.054135,false,,1492,,1
8250,beep,Alka,Sehgal Cuthbert,false,false,false,false,false,1107,,false,,1493,,2
8265,beep,Gregory,Campbell,true,true,false,false,false,15765,-0.079572,true,,1496,252,1
8277,beep,Kirsten,Oswald,false,true,false,false,false,24877,0.137062,true,,1498,256,2
10791,beep,,,false,false,false,false,false,146,,false,,1987,,
8292,beep,Dale,Needham,false,false,false,false,false,4219,0.040401,false,,1501,,1
8314,beep,Steve,Burgess,false,false,false,false,false,1971,0.002675,false,,1506,,1
8335,beep,Christine,Jardine,true,true,false,false,false,21766,0.056147,true,,1509,847,2
8348,beep,Alec,Shelbrooke,true,true,false,false,false,33726,0.035888,true,,1512,276,1
8365,beep,Bambos,Charalambous,true,true,false,false,false,22923,-0.032195,true,,1515,281,1
8383,beep,Richard,Shaw,false,false,false,true,false,188,,false,,1518,,1
8401,beep,Ben,Bradshaw,true,true,false,false,false,29882,-0.087742,true,,1521,287,1
8412,beep,Matthew,Winnington,false,false,false,false,false,8006,0.071509,false,,1523,,1
8424,beep,Caroline,Wheeler,false,false,false,true,false,751,,false,,1526,,2
8441,beep,Colin,Menniss,false,false,false,false,false,190,,false,,1529,,1
8458,beep,Martin,Mitchell,false,false,false,false,false,11821,-0.080845,false,,1532,,1
8473,beep,Peter,Maughan,false,false,false,false,false,2792,0.032603,false,,1535,,1
8492,beep,Kate,Watson,false,false,false,false,false,12791,-0.053313,false,,1539,,2
