"Subject","Predicate","Object"
"http://parliament.uk/ontologies/laying/Laying","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/laying/LayingOrWithdrawal"
"http://parliament.uk/ontologies/laying/hasLayingPerson","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/LayingDuty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/LayingAuthority","http://www.w3.org/2000/01/rdf-schema#label","Laying authority"
"http://parliament.uk/ontologies/laying/Withdrawal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/LayingOrWithdrawal"
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/2000/01/rdf-schema#label","Has House"
"http://parliament.uk/ontologies/laying/LayingBody","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#label","Withdrawn on"
"http://parliament.uk/ontologies/laying/LaidPaper","http://www.w3.org/2000/01/rdf-schema#comment","A paper having been laid before a House. Papers and supporting documents may be laid as a bundle."
"http://parliament.uk/ontologies/laying/LayingBody","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/House","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary House, for example: the House of Lords."
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/withdraws","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/WithdrawnPaper"
"http://parliament.uk/ontologies/laying/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/Withdrawal"
"http://parliament.uk/ontologies/laying/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying or withdrawal a paper to the laying body laying or withdrawing it."
"n4eb03fcd4e82470694c5962f7903f709b3","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/laying/replaces","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/WithdrawnPaper"
"http://parliament.uk/ontologies/laying/hasLayingPerson","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/Person"
"http://parliament.uk/ontologies/laying/hasLayingDuty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/Laying","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/LaidPaper","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/hasLayingDuty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
