id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
1431,Financial Services (Miscellaneous) (Amendment) (EU Exit) (No. 2) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111185698,PnGe3LQI,1,1277
1143,Common Organisation of the Markets in Agricultural Products and Common Agricultural Policy (Miscellaneous Amendments) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111181270,HiFfyk2Y,1,
4884,Mansfield (Electoral Changes) Order 2022,,SI,2022,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2022/9780348235388,UtKGvVm5,949,
3375,Conflict Minerals (Compliance) (Northern Ireland) (EU Exit) Regulations 2020,,SI,2020,,2021-01-01 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2020/9780348213539,n3hjePFU,1,
1940,Judicial Pensions (Fee-Paid Judges) (Amendment) Regulations 2017,,SI,2017,,,,https://www.legislation.gov.uk/ukdsi/2017/9780111162187,E0rsMnxJ,869,
6698,Terrorism Act 2000 (Alterations to the Search Powers Code for Northern Ireland) Order 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348264340,Xi8mzmhJ,176,
5232,South Yorkshire Passenger Transport Executive (Transfer of Functions) Order 2023,,SI,2022,,2023-04-01 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2023/9780348240771,3PNeF3zZ,1615,
4579,"Tax Credits, Child Benefit and Guardian's Allowance Up-rating Regulations 2022",,SI,2022,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2022/9780348231205,Y2mCJYYC,795,
6947,Immigration (Biometric Information etc.) (Amendment) Regulations 2025,,SI,2025,,2025-03-27 00:00:00+00,,https://www.legislation.gov.uk/ukdsi/2025/9780348268058,bVUuBzpq,"1235, 789",
6122,Representation of the People (Postal and Proxy Voting etc.) (Amendment) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348254938,yzFOFrjU,"949, 1047, 928, 1718, 596, 1209",
