ec_id,link to ec page,name,,In MNIS,MNIS ID 1,MNIS Name 1,MNIS ID 2,MNIS Name 2,MNIS ID 3,MNIS Name 3,MNIS ID 4,MNIS Name 4
PP2232,PP2232,Community Action Party,GB,No,,,,,,,,
PP228,PP228,Community Action Party,GB,No,,,,,,,,
PP751,PP751,Community First,GB,No,,,,,,,,
PP885,PP885,Community Partnership (Northern Ireland),NI,No,,,,,,,,
PP895,PP895,Community Voice,GB,No,,,,,,,,
PP4089,PP4089,Compass Party,GB,Yes,263,Compass Party,,,,,,
PP3983,PP3983,Concordia,GB,Yes,274,Concordia,,,,,,
PP898,PP898,Congleton First,GB,No,,,,,,,,
PP2626,PP2626,Consensus,GB,Yes,211,Consensus,,,,,,
PP51,PP51,Conservative and Unionist Party,NI,Yes,4,Conservative,,,,,,
PP52,PP52,Conservative and Unionist Party,GB,Yes,4,Conservative,,,,,,
PP874,PP874,Convox,GB,No,,,,,,,,
PP12685,PP12685,Count Binface Party,GB,No,,,,,,,,
PP4037,PP4037,Cross-Community Labour Alternative,NI,No,,,,,,,,
PP640,PP640,Cumbernauld Independent Councillors Alliance,GB,No,,,,,,,,
PP7918,PP7918,CumbriaFirst,GB,Yes,1032,Cumbria First,,,,,,
PP861,PP861,Cut The Deficit,GB,Yes,84,Deficit,,,,,,
PP1724,PP1724,Democracy First,GB,No,,,,,,,,
PP2277,PP2277,Democracy First,NI,No,,,,,,,,
PP14064,PP14064,Democracy for Chorley,GB,No,,,,,,,,
PP775,PP775,Democratic Reform Party,GB,Yes,236,Democratic Reform Party,,,,,,
PP1860,PP1860,Democratic Republican Party,GB,No,,,,,,,,
PP1911,PP1911,Democrats,GB,No,,,,,,,,
PP2728,PP2728,Digital Democracy,GB,Yes,203,Digital Democracy,,,,,,
PP667,PP667,Direct Democracy (Communist) Party,GB,Yes,83,DDCP,,,,,,
PP668,PP668,Direct Democracy (Communist) Party,NI,Yes,83,DDCP,,,,,,
PP2121,PP2121,District First,GB,No,,,,,,,,
PP1972,PP1972,Don't Cook Party,GB,No,,,,,,,,
PP2339,PP2339,Doncaster First Independents Group,GB,No,,,,,,,,
PP1882,PP1882,Downlands Residents Group,GB,No,,,,,,,,
PP6335,PP6335,Drug Law Reform Party,NI,No,,,,,,,,
PP6739,PP6739,Duma Polska = Polish Pride,GB,No,,,,,,,,
PP12,PP12,East Cleveland Independent,GB,No,,,,,,,,
PP2684,PP2684,East Devon Alliance,GB,No,,,,,,,,
PP6717,PP6717,East Leeds Independents Party,GB,No,,,,,,,,
PPm7983,PPm7983,Ecclesfield Parish Independent Councillors,GB,No,,,,,,,,
PP12564,PP12564,Edlington and Warmsworth First,GB,No,,,,,,,,
PP5249,PP5249,Enact,GB,No,,,,,,,,
PP6318,PP6318,Engage,GB,No,,,,,,,,
PP12881,PP12881,English Constitution Party,GB,Yes,1046,English Constitution Party,,,,,,
PP17,PP17,English Democrats,GB,Yes,259,English Democrats,90,Eng Dem,,,,
PP2791,PP2791,English Futures Party,GB,No,,,,,,,,
PP4231,PP4231,English Independence,GB,No,,,,,,,,
PP693,PP693,English People's Party,GB,No,,,,,,,,
PP779,PP779,English Radical Alliance,GB,No,,,,,,,,
PP2194,PP2194,Equal and Just Society,GB,No,,,,,,,,
PP12565,PP12565,Essex Independence,GB,No,,,,,,,,
PP901,PP901,Eston Independent Party,GB,No,,,,,,,,
PPm2637,PPm2637,Ethical Reform Party,GB,No,,,,,,,,
PP807,PP807,European Nationalists,GB,No,,,,,,,,
PP808,PP808,European Nationalists,NI,No,,,,,,,,
PP2309,PP2309,Europeans Party,GB,Yes,248,Europeans Party,,,,,,
PP2351,PP2351,Everyone's Party,GB,No,,,,,,,,
PP1982,PP1982,F.A.I.R.,GB,no,,,,,,,,
PP10251,PP10251,Failsworth Independent Party,GB,No,,,,,,,,
PP750,PP750,Fair Pay Fair Trade Party,GB,No,,,,,,,,
PP12930,PP12930,Fareham Independent Group,GB,No,,,,,,,,
PP2663,PP2663,Farnham Residents,GB,no,,,,,,,,
PP6384,PP6384,Federalist Party of the United Kingdom,GB,No,,,,,,,,
PP12737,PP12737,FederalUK,GB,No,,,,,,,,
PP2295,PP2295,Fermanagh Against Fracking,NI,No,,,,,,,,
PP704,PP704,First For Kirkby,GB,No,,,,,,,,
PP906,PP906,For England Party,GB,No,,,,,,,,
PP2438,PP2438,For Russia,GB,No,,,,,,,,
PP2299,PP2299,Formby Residents Action Group,GB,No,,,,,,,,
PP6742,PP6742,Foundation Party,GB,No,,,,,,,,
PP866,PP866,Free Public Transport Party,GB,Yes,226,Free Public Transport Party,,,,,,
PP12667,PP12667,"Freedom Alliance- Integrity, Society, Economy",GB,Yes,1035,Freedom Alliance,,,,,,
PP827,PP827,Freedom and Responsibility,GB,Yes,95,FR,,,,,,
PP1767,PP1767,Freedom Democrats,GB,No,,,,,,,,
PP1768,PP1768,Freedom Democrats,NI,No,,,,,,,,
PP3971,PP3971,Freedom Party,GB,No,,,,,,,,
PP2874,PP2874,Friends Party,GB,Yes,261,Friends Party,,,,,,
PP1920,PP1920,Fulham Group,GB,No,,,,,,,,
PPm6907,PPm6907,Future Shepton,GB,No,,,,,,,,
PP2641,PP2641,Give Me Back Elmo,GB,Yes,222,Give me back Elmo,,,,,,
PP848,PP848,Give Our Children A Future Party,NI,No,,,,,,,,
PP305,PP305,Green Party,NI,Yes,44,Green Party,,,,,,
PP63,PP63,Green Party,GB,Yes,44,Green Party,,,,,,
PP2535,PP2535,Guildford Greenbelt Group,GB,Yes,237,Guildford Greenbelt Group,,,,,,
PP6851,PP6851,Gwlad,GB,Yes,1021,Gwlad Gwlad,,,,,,
PP2030,PP2030,Hackney First,GB,No,,,,,,,,
PP753,PP753,Hands Off Tamworth's Schools,GB,No,,,,,,,,
PP6415,PP6415,Harlow Alliance Party,GB,No,,,,,,,,
PP2183,PP2183,Harlow Independent Party,GB,No,,,,,,,,
PP2313,PP2313,Harmony Party,GB,No,,,,,,,,
PP784,PP784,Harold Wood Hill Park Residents Association,GB,No,,,,,,,,
PP1810,PP1810,Hartlepool Independents - Putting Hartlepool First,GB,No,,,,,,,,
PP12668,PP12668,Hatfield DN7 First,GB,No,,,,,,,,
PP14025,PP14025,Havering Boro Independent Group,GB,No,,,,,,,,
PP38,PP38,Havering Residents Association,GB,No,,,,,,,,
PPm2670,PPm2670,Healthier Hertford,GB,No,,,,,,,,
PP6453,PP6453,Heavy Woollen District Independents,GB,Yes,1018,Heavy Woollen District Independents,,,,,,
PP1725,PP1725,Henley Together,GB,No,,,,,,,,
PP12550,PP12550,Heritage Party,GB,Yes,1037,Heritage party,,,,,,
PP12553,PP12553,Heritage Party,NI,Yes,1037,Heritage party,,,,,,
PP6583,PP6583,Herne Hill Community & Libraries Campaign,GB,No,,,,,,,,
PP1874,PP1874,Hersham Village Society,GB,No,,,,,,,,
PP6638,PP6638,Holland On Sea & Eastcliff Matters,GB,No,,,,,,,,
PP2396,PP2396,Hong Kong Independence Party,GB,No,,,,,,,,
PP12585,PP12585,Hornchurch and Upminster Independents,GB,No,,,,,,,,
PP207,PP207,Hornchurch Residents Association,GB,No,,,,,,,,
PP8024,PP8024,Horwich & Blackrod First Independents,GB,No,,,,,,,,
PP529,PP529,Hounslow Independent Alliance,GB,No,,,,,,,,
PP829,PP829,Hugh Salmon for Battersea Party,GB,No,,,,,,,,
PP2667,PP2667,Hykeham Independents,GB,No,,,,,,,,
PP6850,PP6850,I.P.P. Invictus Popular Party,GB,No,,,,,,,,
PPm6359,PPm6359,Ideal Bradford,GB,No,,,,,,,,
PP3898,PP3898,Immigrants Political Party,GB,Yes,258,Immigrants Political Party,,,,,,
PP1918,PP1918,Independence from Europe,GB,Yes,176,Indpendence from Europe,,,,,,
ynmp-party:2,ynmp-party:2,Independent,None,Yes,8,Independent,,,,,,
PP1987,PP1987,Independent - Putting People First,GB,No,,,,,,,,
PP626,PP626,Independent Action,GB,No,,,,,,,,
PP627,PP627,Independent Action,NI,No,,,,,,,,
PP2525,PP2525,Independent Democrats,GB,No,,,,,,,,
PP6343,PP6343,Independent Democrats,GB,No,,,,,,,,
