ec_id,link to ec page,name,,In MNIS,MNIS ID 1,MNIS Name 1,MNIS ID 2,MNIS Name 2,MNIS ID 3,MNIS Name 3,MNIS ID 4,MNIS Name 4
PP7947,PP7947,British Union & Sovereignty Party,NI,No,,,,,,,,
PP2834,PP2834,British Unionist Party - B.U.P.,GB,No,,,,,,,,
PP869,PP869,Bromsgrove Independent Conservative,GB,No,,,,,,,,
PP9076,PP9076,Bucks Residents Association,GB,No,,,,,,,,
PP785,PP785,Bushra Irfan of Blackburn,GB,No,,,,,,,,
PP803,PP803,Cambridge Socialists,GB,No,,,,,,,,
PP2566,PP2566,Campaign,GB,Yes,255,Campaign,,,,,,
PP1946,PP1946,Campaign to Stop Politicians Running Policing,GB,No,,,,,,,,
PP2338,PP2338,Campaign West Independent,GB,No,,,,,,,,
PP2552,PP2552,Cannabis is Safer than Alcohol,GB,Yes,189,CISTAP,,,,,,
PP1758,PP1758,Cannabis Law Reform,GB,Yes,73,CLR,,,,,,
PP1759,PP1759,Cannabis Law Reform,NI,Yes,73,CLR,,,,,,
PP1714,PP1714,Castle Independents,GB,No,,,,,,,,
PP805,PP805,Central Party for Reform,GB,No,,,,,,,,
PP815,PP815,Centre Democrats,GB,No,,,,,,,,
PP14006,PP14006,Change for Plymouth,GB,No,,,,,,,,
PP12557,PP12557,Chase Community Independents Group,GB,No,,,,,,,,
PP2883,PP2883,Chesterfield And North Derbyshire Independents (CANDI),GB,No,,,,,,,,
PP2034,PP2034,Children & Family Party,GB,No,,,,,,,,
PP12591,PP12591,Christchurch Independents,GB,No,,,,,,,,
PP2302,PP2302,Christian Democratic Party,GB,No,,,,,,,,
PP50,PP50,Christian Democratic Party,GB,No,,,,,,,,
PP2808,PP2808,Christian Moderates,GB,No,,,,,,,,
PP839,PP839,Christian Movement for Great Britain,GB,Yes,74,CMGB,,,,,,
PP1992,PP1992,"Christian Party ""Proclaiming Christ's Lordship""",GB,Yes,174,"Christian Party, Proclaiming Christ's Lordship",70,Christian,,,,
PP2893,PP2893,"Christian Party ""Proclaiming Christ's Lordship""",GB,Yes,174,"Christian Party, Proclaiming Christ's Lordship",70,Christian,,,,
PP392,PP392,"Christian Party ""Proclaiming Christ's Lordship""",GB,Yes,174,"Christian Party, Proclaiming Christ's Lordship",70,Christian,,,,
PP79,PP79,Christian Peoples Alliance,GB,Yes,256,Christian Peoples Alliance,80,CPA,,,,
PP843,PP843,Church of the Militant Elvis,GB,No,69,Church of the Militant Elvis Party,68,BPEP,89,ELPP,1048,Militant Bus-Pass Elvis Party
PP171,PP171,Church of the Militant Elvis Party,GB,Yes,69,Church of the Militant Elvis Party,68,BPEP,89,ELPP,1048,Militant Bus-Pass Elvis Party
PP6337,PP6337,Citizens Action Party,GB,No,,,,,,,,
PP2009,PP2009,Civil Society and Common Wealth,GB,No,,,,,,,,
PP2269,PP2269,Class War,GB,Yes,204,Class War,,,,,,
PP12958,PP12958,Climate Party,GB,No,,,,,,,,
PP119,PP119,Co-operative Party,GB,No,,,,,,,,
PP375,PP375,Common Good,GB,Yes,78,Common Good,141,SB,,,,
PP810,PP810,Common Good and Justice for All,GB,No,,,,,,,,
PP2730,PP2730,Common Sense Party,GB,Yes,81,CSP,,,,,,
PP4141,PP4141,Common Sense Party NI,NI,No,,,,,,,,
PP1756,PP1756,Commonwealth National Party,GB,No,,,,,,,,
PP823,PP823,Communist League Election Campaign,GB,Yes,77,Comm Leagu,,,,,,
PP78,PP78,Communist Party of Britain,GB,Yes,76,Comm,,,,,,
PP1890,PP1890,Communities Against the Cuts,GB,No,,,,,,,,
