id,title,weblink,enabledby,triplestoreid
400,Mutual Recognition of Protection Measures in Civil Matters (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-mutual-recognition-of-protection-measures-in-civil-matters-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,3QJSS6n4
406,Open Internet Access (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-open-internet-access-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,0sTgNfiO
407,Planning (Environmental Assessments and Miscellaneous Amendments) (EU Exit) (Northern Ireland) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-planning-environmental-assessments-and-miscellaneous-amendments-eu-exit-northern-ireland-regulations-2018,urn:procedure-editor:ActOfParliament:1,UQPRGVls
408,Planning (Hazardous Substances and Miscellaneous Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-planning-hazardous-substances-and-miscellaneous-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,kntZ8IBb
411,Environmental Assessments and Miscellaneous Planning (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-environmental-assessments-and-miscellaneous-planning-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,1Aw3ytYA
412,Open Internet Access (Amendment Etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-open-internet-access-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,ukB9i2Oy
414,Intellectual Property (Copyright and Related Rights) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-intellectual-property-copyright-and-related-rights-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,OMUuAeDt
415,Ionising Radiation (Basic Safety Standards) (Miscellaneous Provisions) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-ionising-radiation-basic-safety-standards-miscellaneous-provisions-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,0VAQIBej
416,Weighing and Measuring Equipment and Meters (Amendment of Secondary Legislation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-weighing-and-measuring-equipment-and-meters-amendment-of-secondary-legislation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,KN4WJt3G
417,Inquiries and Coroners (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-inquiries-and-coroners-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,l3DSodvr
418,Service of Documents and Taking Evidence in Civil and Commercial Matters (Revocation and Saving Provisions) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-service-of-documents-and-taking-of-evidence-in-civil-and-commercial-matters-revocation-and-saving-provisions-eu-exit-regulations-2018 ,urn:procedure-editor:ActOfParliament:1,NbV94XSE
419,Consumer Protection (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/consumer-protection-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,B3MRbmJM
421,Maritime Transport Access to Trade and Cabotage (Revocation) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-maritime-transport-access-to-trade-and-cabotage-revocation-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,ZrFEt5Lr
432,Local Government (Miscellaneous Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-local-government-miscellaneous-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,xwwPPoQM
