id,title,royalassentdate,year,chapternumber,legislationgovuri,dataparliamenturi,triplestoreid
60,Appropriation Act 2008,2008-03-20,2008,3,https://www.legislation.gov.uk/id/ukpga/2008/3,http://data.parliament.uk/pimsdata/PublicGeneralAct/7910,3ybkjUOo
61,Police Reform and Social Responsibility Act 2011,2011-09-14,2011,13,https://www.legislation.gov.uk/id/ukpga/2011/13,http://data.parliament.uk/pimsdata/PublicGeneralAct/9138,dO791WNt
62,Energy Act 2011,2011-10-18,2011,16,https://www.legislation.gov.uk/id/ukpga/2011/16,http://data.parliament.uk/pimsdata/PublicGeneralAct/9149,Wiuj3IOK
63,Criminal Evidence (Witness Anonymity) Act 2008,2008-07-21,2008,15,https://www.legislation.gov.uk/id/ukpga/2008/15,http://data.parliament.uk/pimsdata/PublicGeneralAct/8007,5MBExTeD
64,Special Educational Needs (Information) Act 2008,2008-07-21,2008,11,https://www.legislation.gov.uk/id/ukpga/2008/11,http://data.parliament.uk/pimsdata/PublicGeneralAct/8004,Iw0zx25U
65,National Insurance Contributions Act 2008,2008-07-21,2008,16,https://www.legislation.gov.uk/id/ukpga/2008/16,http://data.parliament.uk/pimsdata/PublicGeneralAct/8008,L63o20KU
66,Disability Discrimination Act 1995,1995-11-08,1995,50,https://www.legislation.gov.uk/id/ukpga/1995/50,http://data.parliament.uk/pimsdata/PublicGeneralAct/4513,qcLqTD1z
67,Commons Act 2006,2006-07-19,2006,26,https://www.legislation.gov.uk/id/ukpga/2006/26,http://data.parliament.uk/pimsdata/PublicGeneralAct/7367,KNqe0h56
68,Charities (Amendment) Act 1995,1995-11-08,1995,48,https://www.legislation.gov.uk/id/ukpga/1995/48,http://data.parliament.uk/pimsdata/PublicGeneralAct/4511,JJWinFSe
69,European Union (Amendment) Act 2008,2008-06-19,2008,7,https://www.legislation.gov.uk/id/ukpga/2008/7,http://data.parliament.uk/pimsdata/PublicGeneralAct/7970,dzYHDkuI
70,Appropriation Act 1995,1995-07-19,1995,19,https://www.legislation.gov.uk/id/ukpga/1995/19,http://data.parliament.uk/pimsdata/PublicGeneralAct/4519,ShKeXlZE
71,Atomic Energy Authority Act 1995,1995-11-08,1995,37,https://www.legislation.gov.uk/id/ukpga/1995/37,http://data.parliament.uk/pimsdata/PublicGeneralAct/4518,FwurVD5D
72,Finance Act 2008,2008-07-21,2008,9,https://www.legislation.gov.uk/id/ukpga/2008/9,http://data.parliament.uk/pimsdata/PublicGeneralAct/8015,ZMrglFVQ
73,Welfare Reform Act 2009,2009-11-12,2009,24,https://www.legislation.gov.uk/id/ukpga/2009/24,http://data.parliament.uk/pimsdata/PublicGeneralAct/8400,EcWqqhlH
74,Finance Act 2011,2011-07-19,2011,11,https://www.legislation.gov.uk/id/ukpga/2011/11,http://data.parliament.uk/pimsdata/PublicGeneralAct/9121,2nnDz3xX
