id,label,triplestoreid,treatyseriescitation,treatyseries,treaty
594,Norway No. 2 (2020),PylOnAhQ,Norway No. 2 (2020),1,3455
595,Ukraine No. 1 (2020),wg58SdCL,Ukraine No. 1 (2020),1,3465
596,Côte d'Ivoire No. 1 (2020),RkA94HfH,Côte d'Ivoire No. 1 (2020),1,3482
597,Faroe Islands No. 1 (2020),Zo7Ctluv,Faroe Islands No. 1 (2020),1,3483
599,USA No. 2 (2020),FQtn3R9p,USA No. 2 (2020),1,3535
600,Mexico No. 1 (2020),ni7tPUyt,Mexico No. 1 (2020),1,3566
601,North Macedonia No. 1 (2020),41IhdjbR,North Macedonia No. 1 (2020),1,3591
602,Canada No. 1 (2020),M9zfjlGP,Canada No. 1 (2020),1,3590
603,Egypt No.1 (2020),mvhv79TB,Egypt No.1 (2020),1,3597
604,Singapore No. 1 (2020),vP7OnOO9,Singapore No. 1 (2020),1,3604
607,Viet Nam No. 1(2021),REbGrFjN,Viet Nam No. 1(2021),1,3670
608,Kosovo No. 1 (2021),BDCwMDkA,Kosovo No. 1 (2021),1,3684
609,Bosnia and Herzegovina No. 1 (2021),M2EizumC,Bosnia and Herzegovina No. 1 (2021),1,3688
610,Moldova No. 1(2021),oeeHgVY1,Moldova No. 1(2021),1,3712
611,Switzerland No. 1 (2021),3mnyjiLs,Switzerland No. 1 (2021),1,3720
612,Switzerland No. 2 (2021),hWuYZPQA,Switzerland No. 2 (2021),1,3739
613,Albania No. 1 (2021),HncFr6pz,Albania No. 1 (2021),1,3800
615,Norway No. 1 (2021),yJHCNsLt,Norway No. 1 (2021),1,3810
616,Iceland No. 1 (2021),tEjyS97S,Iceland No. 1 (2021),1,3811
617,Turkey No.1 (2021),fSDCUQzq,Turkey No.1 (2021),1,3823
618,Mexico No. 1 (2021),KrSwTy1A,Mexico No. 1 (2021),1,3836
620,Ghana No. 1 (2021),xUYCqGFb,Ghana No. 1 (2021),1,3990
621,Serbia No. 1 (2021),GnJhLKZr,Serbia No. 1 (2021),1,4035
622,Peru No.1 (2021),IV1dYouO,Peru No.1 (2021),1,4064
623,Japan No. 1 (2021),K9fWq2qe,Japan No. 1 (2021),1,4104
624,Estonia No.1 (2021),RxmVVA2o,Estonia No.1 (2021),1,4138
625,Switzerland No. 3 (2021),NB47xfJE,Switzerland No. 3 (2021),1,4139
626,Russian Federation No. 1 (2021),jW0IMwPT,Russian Federation No. 1 (2021),1,4140
627,Latvia No.1 (2021),D7eF8Lro,Latvia No.1 (2021),1,4145
628,Belgium No.1 (2021),zwu9E9Bu,Belgium No.1 (2021),1,4160
629,Italy No. 1 (2021),nySfiiRC,Italy No. 1 (2021),1,4168
