id,triplestoreid,publicationname,publicationurl
937,KFy7sh5y,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
938,cR3fGArG,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
939,CwyaxvIX,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
940,m9kYD466,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
941,2t9Wt7nk,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
943,cfh4hopB,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
944,CRuxT6pk,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
945,vYXdOgzm,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
946,GWLP65TL,House of Lords Minutes ,https://lordsbusiness.parliament.uk/
948,mP9ayWxL,Secondary Legislation Scrutiny Committee reports ,https://committees.parliament.uk/committee/255/secondary-legislation-scrutiny-committee/
949,HUUlPgC4,Treaties scrutinised by the European Union Committee,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/content/treaties-scrutinised-by-the-european-union-committee/
951,uU18Z9XI,European Union Committee pages,https://old.parliament.uk/business/committees/committees-a-z/lords-select/eu-select-committee-/
954,6zZMBurk,Deposited Papers website ,https://depositedpapers.parliament.uk/
955,uk2PVSqi,Deposited Papers website,https://depositedpapers.parliament.uk/
956,DoUJmCub,Deposited papers website ,https://depositedpapers.parliament.uk/
957,H1DZtWFL,Legislation.gov.uk,https://www.legislation.gov.uk/
958,Hn3Qk1f4,Legislation.gov.uk,https://www.legislation.gov.uk/
959,y1vFcEuD,Legislation.gov.uk,https://www.legislation.gov.uk/
960,uCCsT18j,Legislation.gov.uk,https://www.legislation.gov.uk/
961,TBMUc01I,Votes and Proceedings,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
964,qz72keo0,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
965,WJiGfaOq,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
966,doqK87CJ,Joint Committee on Human Rights reports ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
967,0PGMKy4X,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
970,IYHvIzHF,EDMs website ,https://edm.parliament.uk/
971,8N2tBdCU,Commons Hansard ,https://hansard.parliament.uk/commons
972,TEWH1H7G,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
973,D7roxEwF,EDMs website ,https://edm.parliament.uk/
975,CW1E2FyP,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
976,cMdWqw9A,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
977,XdJNsBhU,International Trade Committee website ,https://committees.parliament.uk/committee/367/international-trade-committee/
979,fkMWbLQ3,International Trade Committee publications page ,https://committees.parliament.uk/committee/367/international-trade-committee/publications/reports-responses/
986,iMR1R1CU,European Union Committee responses page,https://committees.parliament.uk/committee/176/european-union-committee/publications/2/government-response/
987,sRV1HZ37,EU International Agreements Sub-Committee legislative scrutiny,https://committees.parliament.uk/committee/448/eu-international-agreements-subcommittee/work/3/legislative-scrutiny/ 
988,cShctdoM,European Union Committee legislative scrutiny page,https://committees.parliament.uk/committee/448/eu-international-agreements-subcommittee/work/3/legislative-scrutiny/ 
989,Bdpqoufm,International Trade Committee non-inquiry scrutiny,https://committees.parliament.uk/committee/367/international-trade-committee/work/2/?committeebusinesstypeslug=noninquiry-session
990,56F6WiYC,Joint Committee on Human rights website,https://committees.parliament.uk/committee/93/human-rights-joint-committee/
991,wFvXJejh,Joint Committee on Human Rights non-inquiry scrutiny pages ,https://committees.parliament.uk/committee/93/human-rights-joint-committee/work/2/?committeebusinesstypeslug=noninquiry-session
993,8ff05OoW,International Agreements Committee non-inquiry scrutiny pages,https://committees.parliament.uk/committee/448/international-agreements-committee/work/3/?committeebusinesstypeslug=legislative-scrutiny
994,f7m73FKW,International Agreements Committee website ,https://committees.parliament.uk/committee/448/international-agreements-committee/
998,ookwqd1v,Government Official Documents ,https://www.gov.uk/official-documents
999,O28ZmSNk,Votes and Proceedings ,https://commonsbusiness.parliament.uk/search?SearchTerm=Votes+and+Proceedings
1000,bEiPqmFb,House of Lords Minutes,https://lordsbusiness.parliament.uk/
