id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
6055,Work package for West Northamptonshire (Electoral Changes) Order 2024,,false,lRSMdvfo,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6055
6073,Work package for Public Offers and Admissions to Trading Regulations 2023,,false,HQedR01P,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6073
6076,Work package for Misuse of Drugs Act 1971 (Amendment) Order 2024,,false,97FYaYPa,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6076
6077,Work package for Data Reporting Services Regulations 2023,,false,MqiuIoB1,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6077
6078,Work package for Securitisation Regulations 2023,,false,RsC0TSHL,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6078
6080,Work package for Online Safety (List of Overseas Regulators) Regulations 2024,,false,4zVGtta8,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6080
6081,"Work package for General Aviation (Persons on Board, Flight Information and Civil Penalties) Regulations 2024",,false,oW3gY0fK,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6081
6086,Work package for Biodiversity Gain Site Register (Financial Penalties and Fees) Regulations 2024,,false,aHMuDOik,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6086
6087,Work package for Biodiversity Gain (Town and Country Planning) (Consequential Amendments) Regulations 2024,,false,LQaSdepi,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6087
6090,Work package for Wine (Amendment) (England) Regulations 2024,,false,Ad393Z8S,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6090
6091,Work package for Magistrates? Courts Act 1980 (Automatic Online Conviction and Standard Statutory Penalty) (Specification of Offences and Penalties) Regulations 2024,,false,xoq0Awfw,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6091
6092,Work package for Financial Services Act 2021 (Overseas Funds Regime and Recognition of Parts of Schemes) (Amendment and Modification) Regulations 2024,,false,A0BjSikM,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6092
6099,Work package for Waste Enforcement (Fixed Penalty Receipts) (Amendment) (England and Wales) Regulations 2023,,false,DmMs6P5Z,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6099
6100,Work package for Gender Recognition (Approved Countries and Territories and Saving Provision) Order 2023,,false,jRol4wj1,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6100
6101,Work package for National Crime Agency (Directed Tasking) Order 2023,,false,J93XGZtR,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6101
6106,Work package for Northumberland (Electoral Changes) Order 2024,,false,L6dVkuQ2,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6106
6107,Work package for Shropshire (Electoral Changes) Order 2024,,false,aoLlQCAo,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6107
6108,Work package for Worcester (Electoral Changes) Order 2024,,false,Enp7jeMr,5,2,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6108
6119,Work package for Local Government Finance Act 1988 (Prescription of Non-Domestic Rating Multipliers) (England) Regulations 2023,,false,FRHjfRCE,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6119
6120,Work package for Post Office Network Subsidy Scheme (Amendment) Order 2024,,false,d0jwcIu9,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6120
6122,Work package for Representation of the People (Postal and Proxy Voting etc.) (Amendment) Regulations 2024,,false,JnHSei4B,3,,urn:procedure-editor:DraftStatutoryInstrumentSubjectToParliamentaryProcedureWork:6122
