id,title,weblink,year,prefix,number,comingintoforcedate,comingintoforcenote,madedate,enabledby,precededbyproposedstatutoryinstrument,triplestoreid
137,Recovery of Costs (Remand to Youth Detention Accommodation) (Amendment No. 2) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/498/made,2018,SI,498,2018-05-11,,2018-04-18,urn:procedure-editor:ActOfParliament:1329,"",W0xWx2Iu
138,Insurance Companies (Taxation of Re-insurance Business) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/538/made,2018,SI,538,2018-06-01,,2018-04-26,urn:procedure-editor:ActOfParliament:251,"",9PuVurua
139,Financial Services and Markets Act 2000 (Prospectus and Markets in Financial Instruments) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/786/made,2018,SI,786,2018-07-21,,2018-06-27,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:1183,urn:procedure-editor:ActOfParliament:1282","",2KKfR6RI
140,European Communities (Designation) Order 2018,https://www.legislation.gov.uk/uksi/2018/622/made,2018,SI,622,2018-06-21,,2018-05-23,urn:procedure-editor:ActOfParliament:2419,"",YI5L3LfM
142,Water Supply (Water Quality) Regulations 2018,https://www.legislation.gov.uk/wsi/2018/647/made,2018,SI,647,2018-06-15,,2018-05-22,"urn:procedure-editor:ActOfParliament:566,urn:procedure-editor:ActOfParliament:2419","",YOVMhcqy
143,Immigration and Nationality (Requirements for Naturalisation and Fees) (Amendment) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/618/made,2018,SI,618,2018-05-30,,2018-05-23,"urn:procedure-editor:ActOfParliament:1860,urn:procedure-editor:ActOfParliament:1300","",uNiGNHey
144,Passenger Name Record Data and Miscellaneous Amendments Regulations 2018,https://www.legislation.gov.uk/uksi/2018/598/made,2018,SI,598,2018-05-25,,2018-05-16,"urn:procedure-editor:ActOfParliament:2419,urn:procedure-editor:ActOfParliament:2565,urn:procedure-editor:ActOfParliament:1238","",8HUWJm9e
146,Equine Identification (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/761/made,2018,SI,761,,in accordance with regulation 1.,2018-06-22,urn:procedure-editor:ActOfParliament:2419,"",mRgc1Qvc
148,Animal By-Products and Pet Passport Fees (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/666/made,2018,SI,666,2018-06-30,,2018-05-24,urn:procedure-editor:ActOfParliament:2366,"",cmbxjWzh
149,Animal Health (Miscellaneous Fees) (England) Regulations 2018,https://www.legislation.gov.uk/uksi/2018/664/made,2018,SI,664,2018-06-30,,2018-05-24,"urn:procedure-editor:ActOfParliament:2366,urn:procedure-editor:ActOfParliament:1635","",4EdTvost
