id,inParliamentPeriod,number,label,startOn,endOn,wikidataID
107,26,3,Session 3 of Parliament 26,1897-01-19,1897-08-06,Q108997510
108,26,4,Session 4 of Parliament 26,1898-02-08,1898-08-12,Q108997509
109,26,5,Session 5 of Parliament 26,1899-02-07,1899-08-09,Q108997508
110,26,6,Session 6 of Parliament 26,1899-10-17,1899-10-27,Q108997507
111,26,7,Session 7 of Parliament 26,1900-01-30,1900-08-08,Q108997506
112,27,1,Session 1 of Parliament 27,1900-12-03,1900-12-15,Q108997505
113,27,2,Session 2 of Parliament 27,1901-01-23,1901-08-17,Q108997504
114,27,3,Session 3 of Parliament 27,1902-01-16,1902-12-18,Q108997503
115,27,4,Session 4 of Parliament 27,1903-02-17,1903-08-14,Q108997502
116,27,5,Session 5 of Parliament 27,1904-02-02,1904-08-15,Q108997501
117,27,6,Session 6 of Parliament 27,1905-02-14,1905-08-11,Q108997500
118,28,1,Session 1 of Parliament 28,1906-02-13,1906-12-21,Q108997498
119,28,2,Session 2 of Parliament 28,1907-02-12,1907-08-28,Q108997497
120,28,3,Session 3 of Parliament 28,1908-01-29,1908-12-21,Q108997496
121,28,4,Session 4 of Parliament 28,1909-02-16,1909-12-03,Q108997495
122,29,1,Session 1 of Parliament 29,1910-02-15,1910-11-28,Q108997493
123,30,1,Session 1 of Parliament 30,1911-01-31,1911-12-16,Q108997492
124,30,2,Session 2 of Parliament 30,1912-02-14,1913-03-07,Q108997491
125,30,3,Session 3 of Parliament 30,1913-03-10,1913-08-15,Q108997490
126,30,4,Session 4 of Parliament 30,1914-02-10,1914-09-18,Q108997489
127,30,5,Session 5 of Parliament 30,1914-11-11,1916-01-27,Q108997488
128,30,6,Session 6 of Parliament 30,1916-02-15,1916-12-22,Q108997487
129,30,7,Session 7 of Parliament 30,1917-02-07,1918-02-06,Q108997486
130,30,8,Session 8 of Parliament 30,1918-02-12,1918-11-21,Q108997485
131,31,1,Session 1 of Parliament 31,1919-02-04,1919-12-23,Q108997484
132,31,2,Session 2 of Parliament 31,1920-02-10,1920-12-23,Q108997483
133,31,3,Session 3 of Parliament 31,1921-02-15,1921-11-10,Q108997482
134,31,4,Session 4 of Parliament 31,1921-12-14,1921-12-19,Q108997481
135,31,5,Session 5 of Parliament 31,1922-02-07,1922-08-04,Q108997480
136,32,1,Session 1 of Parliament 32,1922-11-20,1922-12-15,Q108997479
137,32,2,Session 2 of Parliament 32,1923-02-13,1923-11-16,Q108997478
138,33,1,Session 1 of Parliament 33,1924-01-08,1924-10-09,Q108997477
139,34,1,Session 1 of Parliament 34,1924-12-02,1925-12-22,Q108997475
140,34,2,Session 2 of Parliament 34,1926-02-02,1926-12-15,Q108997456
141,34,3,Session 3 of Parliament 34,1927-02-08,1927-12-22,Q108997432
142,34,4,Session 4 of Parliament 34,1928-02-07,1928-08-03,Q108997413
143,34,5,Session 5 of Parliament 34,1928-11-06,1929-05-10,Q108997394
144,35,1,Session 1 of Parliament 35,1929-06-25,1930-08-01,Q108997381
145,35,2,Session 2 of Parliament 35,1930-10-28,1931-10-07,Q108997380
146,36,1,Session 1 of Parliament 36,1931-11-03,1932-11-17,Q108997379
147,36,2,Session 2 of Parliament 36,1932-11-22,1933-11-17,Q108997378
148,36,3,Session 3 of Parliament 36,1933-11-21,1934-11-16,Q108997377
149,36,4,Session 4 of Parliament 36,1934-11-20,1935-10-25,Q108997376
150,37,1,Session 1 of Parliament 37,1935-11-26,1936-10-30,Q108992869
151,37,2,Session 2 of Parliament 37,1936-11-03,1937-10-22,Q108992867
152,37,3,Session 3 of Parliament 37,1937-10-26,1938-11-04,Q108992866
153,37,4,Session 4 of Parliament 37,1938-11-08,1939-11-23,Q108992865
154,37,5,Session 5 of Parliament 37,1939-11-28,1940-11-20,Q108992864
155,37,6,Session 6 of Parliament 37,1940-11-21,1941-11-11,Q108992863
156,37,7,Session 7 of Parliament 37,1941-11-12,1942-11-10,Q108992862
157,37,8,Session 8 of Parliament 37,1942-11-11,1943-11-23,Q108992861
158,37,9,Session 9 of Parliament 37,1943-11-24,1944-11-28,Q108992860
159,37,10,Session 10 of Parliament 37,1944-11-29,1945-06-15,Q108992859
160,38,1,Session 1 of Parliament 38,1945-08-01,1946-11-06,Q108992858
161,38,2,Session 2 of Parliament 38,1946-11-12,1947-10-20,Q108992857
162,38,3,Session 3 of Parliament 38,1947-10-21,1948-09-05,Q108992856
163,38,4,Session 4 of Parliament 38,1948-09-14,1948-10-25,Q108992855
